#operation,time
Create 100 files	10.105	9.368	11.014	10.528444444444444	9.822	11.384	5.3599000000000006	4.81	5.838	10.331500000000002	9.901	10.858
Create 100 files (parallel)	4.991444444444444	4.673	5.391	5.6676	5.233	6.307	0.9472000000000002	0.787	1.129	5.365777777777777	4.932	6.43
Unlink 100 files	2.6174	2.395	2.916	2.6270000000000002	2.359	3.103	2.6775555555555552	2.429	2.914	2.6721999999999997	2.456	3.031
Unlink 100 files (parallel)	3.1605	2.638	3.673	3.404	2.987	3.914	2.9871111111111115	2.798	3.312	3.2489000000000003	2.83	3.624
ls with 1000 files	0.5623333333333335	0.537	0.602	0.6181111111111111	0.575	0.719	0.16188888888888886	0.156	0.171	0.15644444444444447	0.147	0.167
`find' with 1000 dirs/files	2.4784444444444444	2.234	2.75	2.417	2.034	2.843	0.16866666666666666	0.155	0.189	0.933	0.728	1.421
Write 1GB	7.706333333333333	7.538	7.889	9.87788888888889	9.73	10.15	4.532399999999999	4.399	4.699	7.7941111111111105	7.517	8.097
Read 1GB	7.132777777777777	6.783	7.666	7.741	7.077	8.273	3.493	3.407	3.606	7.284333333333334	6.785	7.985
Rename 1GB	0.147	0.13	0.168	18.197400000000002	16.813	19.796	0.10677777777777778	0.096	0.131	0.1551111111111111	0.134	0.186
Time to 1st byte	0.3184	0.24	0.395	0.34288888888888885	0.197	0.464	0.025333333333333333	0.021	0.033	0.2822222222222222	0.223	0.357
